,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1893,1893,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.60,16.27,16.60,2015-01-01
12659,1915,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.85,16.51,16.85,2015-01-02
24910,1912,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.82,16.48,16.82,2015-01-05
35741,1912,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.32,15.99,16.32,2015-01-06
46576,1912,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.31,15.98,16.31,2015-01-07
57419,1911,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.62,16.29,16.62,2015-01-08
68260,1910,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.60,16.27,16.60,2015-01-09
80523,1910,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.66,16.33,16.66,2015-01-12
91354,1910,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.66,16.33,16.66,2015-01-13
102180,1910,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.61,16.28,16.61,2015-01-14
113013,1906,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.12,16.78,17.12,2015-01-15
123849,1906,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.21,16.87,17.21,2015-01-16
136107,1893,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.36,17.01,17.36,2015-01-19
146932,1903,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.63,17.28,17.63,2015-01-20
157767,1903,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.60,17.25,17.60,2015-01-21
168608,1903,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.65,17.30,17.65,2015-01-22
179458,1903,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.72,17.37,17.72,2015-01-23
192235,1899,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.07,17.71,18.07,2015-01-27
203082,1895,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.04,17.68,18.04,2015-01-28
213882,1856,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.00,17.64,18.00,2015-01-29
224671,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.64,17.29,17.64,2015-01-30
236857,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.68,17.33,17.68,2015-02-02
247672,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.38,17.03,17.38,2015-02-03
258502,1848,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.12,16.78,17.12,2015-02-04
269348,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.11,16.77,17.11,2015-02-05
280202,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.92,16.58,16.92,2015-02-06
292474,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.70,16.37,16.70,2015-02-09
303344,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.89,16.55,16.89,2015-02-10
314201,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.08,16.74,17.08,2015-02-11
325045,1848,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.36,17.01,17.36,2015-02-12
335909,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.45,17.10,17.45,2015-02-13
348187,1847,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.28,16.93,17.28,2015-02-16
359946,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.36,17.01,17.36,2015-02-18
369980,1015,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.27,16.92,17.27,2015-02-19
373780,1838,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.29,16.94,17.29,2015-02-20
386042,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.14,16.80,17.14,2015-02-23
396896,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.09,16.75,17.09,2015-02-24
407731,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.04,16.70,17.04,2015-02-25
418587,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.93,16.59,16.93,2015-02-26
429447,1845,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.28,16.93,17.28,2015-02-27
441737,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.05,17.69,18.05,2015-03-02
452598,1847,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.11,17.75,18.11,2015-03-03
463445,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.87,17.51,17.87,2015-03-04
474288,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,18.01,17.65,18.01,2015-03-05
487084,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.48,17.13,17.48,2015-03-09
497924,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.35,17.00,17.35,2015-03-10
508733,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.26,16.91,17.26,2015-03-11
519562,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.33,16.98,17.33,2015-03-12
530390,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.02,16.68,17.02,2015-03-13
542648,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.05,16.71,17.05,2015-03-16
553484,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.26,16.91,17.26,2015-03-17
564301,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.30,16.95,17.30,2015-03-18
575124,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.07,16.73,17.07,2015-03-19
585950,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.94,16.60,16.94,2015-03-20
598196,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.77,16.43,16.77,2015-03-23
609037,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.71,16.38,16.71,2015-03-24
619865,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.61,16.28,16.61,2015-03-25
630708,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.32,15.99,16.32,2015-03-26
641558,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.45,16.12,16.45,2015-03-27
653836,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.79,16.45,16.79,2015-03-30
664726,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.70,16.37,16.70,2015-03-31
674704,910,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.03,16.69,17.03,2015-04-01
680700,1822,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.08,16.74,17.08,2015-04-06
691550,1829,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.08,16.74,17.08,2015-04-07
702331,1835,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.05,16.71,17.05,2015-04-08
713106,1835,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.37,17.02,17.37,2015-04-09
723884,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.36,17.01,17.36,2015-04-10
736088,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.33,16.98,17.33,2015-04-13
747777,1838,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.25,16.90,17.25,2015-04-15
758525,1839,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.18,16.84,17.18,2015-04-16
769270,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.83,16.49,16.83,2015-04-17
781449,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.61,16.28,16.61,2015-04-20
792176,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.54,16.21,16.54,2015-04-21
802880,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.59,16.26,16.59,2015-04-22
813600,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.67,16.34,16.67,2015-04-23
824325,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.34,16.01,16.34,2015-04-24
836492,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.06,15.74,16.06,2015-04-27
847208,1839,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.41,16.08,16.41,2015-04-28
857921,1839,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.44,16.11,16.44,2015-04-29
868629,1839,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.40,16.07,16.40,2015-04-30
880138,1032,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.61,16.28,16.61,2015-05-04
884134,1839,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.65,16.32,16.65,2015-05-05
894822,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.04,15.72,16.04,2015-05-06
905500,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.65,15.34,15.65,2015-05-07
916182,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.02,15.70,16.02,2015-05-08
928324,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.37,16.04,16.37,2015-05-11
939015,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.92,15.60,15.92,2015-05-12
949701,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.26,15.93,16.26,2015-05-13
960370,1832,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.29,15.96,16.29,2015-05-14
970978,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.38,16.05,16.38,2015-05-15
983088,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.54,16.21,16.54,2015-05-18
993767,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.48,16.15,16.48,2015-05-19
1004445,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.55,16.22,16.55,2015-05-20
1015126,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.53,16.20,16.53,2015-05-21
1025802,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.52,16.19,16.52,2015-05-22
1037913,1824,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.43,16.10,16.43,2015-05-25
1048522,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.41,16.08,16.41,2015-05-26
1059205,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.55,16.22,16.55,2015-05-27
1069891,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.49,16.16,16.49,2015-05-28
1080584,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.74,16.41,16.74,2015-05-29
1092738,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.78,16.44,16.78,2015-06-01
1103415,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.22,15.90,16.22,2015-06-02
1114094,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.06,15.74,16.06,2015-06-03
1124790,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.13,15.81,16.13,2015-06-04
1135487,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.09,15.77,16.09,2015-06-05
1147661,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.91,15.59,15.91,2015-06-08
1158349,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.88,15.56,15.88,2015-06-09
1169036,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.04,15.72,16.04,2015-06-10
1179733,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.75,15.43,15.75,2015-06-11
1190432,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.84,15.52,15.84,2015-06-12
1202609,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.82,15.50,15.82,2015-06-15
1213300,1843,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.96,15.64,15.96,2015-06-16
1224020,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.10,15.78,16.10,2015-06-17
1234739,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.27,15.94,16.27,2015-06-18
1245464,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.43,16.10,16.43,2015-06-19
1257679,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.87,16.53,16.87,2015-06-22
1268405,1831,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.87,16.53,16.87,2015-06-23
1279086,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.80,16.46,16.80,2015-06-24
1289824,1840,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.94,16.60,16.94,2015-06-25
1300566,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.87,16.53,16.87,2015-06-26
1312803,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.79,16.45,16.79,2015-06-29
1323544,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.85,16.51,16.85,2015-06-30
1334276,1845,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.08,16.74,17.08,2015-07-01
1344997,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.14,16.80,17.14,2015-07-02
1355748,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.27,16.92,17.27,2015-07-03
1367992,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.38,17.03,17.38,2015-07-06
1378752,1852,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.42,17.07,17.42,2015-07-07
1389505,1852,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.00,16.66,17.00,2015-07-08
1400254,1855,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.05,16.71,17.05,2015-07-09
1410995,1853,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.26,16.91,17.26,2015-07-10
1423233,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.46,17.11,17.46,2015-07-13
1433977,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.42,17.07,17.42,2015-07-14
1444721,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.45,17.10,17.45,2015-07-15
1455485,1851,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.67,17.32,17.67,2015-07-16
1466248,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.69,17.34,17.69,2015-07-17
1478523,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.61,17.26,17.61,2015-07-20
1489303,1850,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.37,17.02,17.37,2015-07-21
1500082,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.67,17.32,17.67,2015-07-22
1510867,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.68,17.33,17.68,2015-07-23
1521671,1849,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.62,17.27,17.62,2015-07-24
1533980,1847,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.23,16.89,17.23,2015-07-27
1544781,1847,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.31,16.96,17.31,2015-07-28
1555587,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.43,17.08,17.43,2015-07-29
1566398,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.58,17.23,17.58,2015-07-30
1577222,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.77,17.41,17.77,2015-07-31
1589570,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.87,17.51,17.87,2015-08-03
1600393,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.88,17.52,17.88,2015-08-04
1611220,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.92,17.56,17.92,2015-08-05
1622047,1846,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.92,17.56,17.92,2015-08-06
1632883,1845,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.84,17.48,17.84,2015-08-07
1645232,1844,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.75,17.39,17.75,2015-08-10
1656060,1842,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.58,17.23,17.58,2015-08-11
1666885,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.10,16.76,17.10,2015-08-12
1677716,1841,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.11,16.77,17.11,2015-08-13
1688544,1835,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.59,17.24,17.59,2015-08-14
1700883,1835,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.69,17.34,17.69,2015-08-17
1710920,1041,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.65,17.30,17.65,2015-08-18
1715009,1835,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.59,17.24,17.59,2015-08-19
1725857,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,17.14,16.80,17.14,2015-08-20
1736708,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.92,16.58,16.92,2015-08-21
1749070,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.67,15.36,15.67,2015-08-24
1759925,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.95,15.63,15.95,2015-08-25
1770780,1837,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.80,15.48,15.80,2015-08-26
1781634,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.15,15.83,16.15,2015-08-27
1792496,1836,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.06,15.74,16.06,2015-08-28
1804871,1828,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.11,15.79,16.11,2015-08-31
1815721,1827,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.60,15.29,15.60,2015-09-01
1826564,1824,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.39,15.08,15.39,2015-09-02
1837429,1823,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.78,15.46,15.78,2015-09-03
1848279,1817,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.44,15.13,15.44,2015-09-04
1860676,1814,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.18,14.88,15.18,2015-09-07
1871515,1817,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.50,15.19,15.50,2015-09-08
1882382,1821,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.74,15.43,15.74,2015-09-09
1893256,1822,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.70,15.39,15.70,2015-09-10
1904133,1823,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.77,15.45,15.77,2015-09-11
1916543,1823,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.00,15.68,16.00,2015-09-14
1927418,1823,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.87,15.55,15.87,2015-09-15
1938296,1820,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.98,15.66,15.98,2015-09-16
1950140,1820,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.10,15.78,16.10,2015-09-18
1962561,1820,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.25,15.92,16.25,2015-09-21
1973447,1820,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.88,15.56,15.88,2015-09-22
1984331,1819,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.05,15.73,16.05,2015-09-23
1995219,1817,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.02,15.70,16.02,2015-09-24
2008201,1808,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,15.95,15.63,15.95,2015-09-28
2019084,1815,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.26,15.93,16.26,2015-09-29
2029972,1814,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.37,16.04,16.37,2015-09-30
2040859,1809,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.29,15.96,16.29,2015-10-01
2053842,1815,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.69,16.36,16.69,2015-10-05
2064749,1815,125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,INF209K011W7,,16.63,16.30,16.63,2015-10-06
